date,open,high,low,close,volume
2025-09-01,100.00,100.22,99.65,99.77,1043595
2025-09-02,99.77,100.19,99.40,99.84,1290389
2025-09-03,99.84,100.25,99.81,99.90,1099076
2025-09-04,99.90,100.07,99.56,99.70,1143688
2025-09-05,99.70,100.78,99.43,100.64,945153
2025-09-08,100.64,100.85,100.40,100.46,970041
2025-09-09,100.46,100.70,100.13,100.17,979324
2025-09-10,100.17,100.88,99.92,100.60,821989
2025-09-11,100.60,100.88,99.24,99.55,1125064
2025-09-12,99.55,100.13,99.38,99.81,1200030
2025-09-15,99.81,99.90,99.41,99.89,828057
2025-09-16,99.89,100.30,99.65,100.24,998782
2025-09-17,100.24,100.33,98.38,98.64,880574
2025-09-18,98.64,98.77,97.77,97.88,989918
2025-09-19,97.88,98.13,96.70,96.80,1151859
2025-09-22,96.80,96.91,96.32,96.39,812159
2025-09-23,96.39,97.07,96.38,96.86,1088663
2025-09-24,96.86,97.20,96.83,97.18,1074736
2025-09-25,97.18,97.37,96.47,96.72,1309111
2025-09-26,96.72,96.83,96.61,96.71,1182839
2025-09-29,96.71,97.30,96.35,97.16,1154823
2025-09-30,97.16,97.47,96.91,97.11,1007622
2025-10-01,97.11,98.10,96.74,98.00,1291768
2025-10-02,98.00,98.21,97.06,97.32,1240316
2025-10-03,97.32,97.46,96.73,96.85,948690
2025-10-06,96.85,96.94,96.70,96.91,819307
2025-10-07,96.91,97.32,96.64,97.18,1264201
2025-10-08,97.18,97.41,96.02,96.03,1134092
2025-10-09,96.03,96.26,95.36,95.50,926602
2025-10-10,95.50,95.95,95.32,95.86,1227250
2025-10-13,95.86,96.13,95.36,95.41,1155496
2025-10-14,95.41,95.42,94.93,94.95,1292035
2025-10-15,94.95,95.67,94.58,95.45,995552
2025-10-16,95.45,95.69,95.04,95.36,1351165
2025-10-17,95.36,96.15,95.12,95.92,973521
2025-10-20,95.92,96.06,95.54,95.65,1247618
2025-10-21,95.65,97.09,95.42,97.08,1216540
2025-10-22,97.08,97.15,96.15,96.34,1194324
2025-10-23,96.34,97.06,96.21,96.83,1101745
2025-10-24,96.83,97.13,95.95,96.14,1278506
2025-10-27,96.14,96.18,95.64,95.82,1361121
2025-10-28,95.82,95.99,95.42,95.48,952101
2025-10-29,95.48,95.71,95.16,95.40,1389574
2025-10-30,95.40,96.04,95.32,95.73,998571
2025-10-31,95.73,95.82,95.19,95.53,930144
2025-11-03,95.53,96.05,95.37,96.01,1126726
2025-11-04,96.01,97.79,95.80,97.42,1100862
2025-11-05,97.42,98.45,97.30,98.21,1312637
2025-11-06,98.21,98.39,97.75,98.13,1128944
2025-11-07,98.13,98.65,98.11,98.54,1086546
2025-11-10,98.54,100.10,98.22,99.71,1377714
2025-11-11,99.71,100.12,99.55,99.85,984213
2025-11-12,99.85,100.39,99.57,100.03,1357465
2025-11-13,100.03,100.10,99.50,99.73,1200473
2025-11-14,99.73,100.63,99.46,100.41,1009244
2025-11-17,100.41,101.30,100.26,101.23,1213318
2025-11-18,101.23,102.44,101.15,102.38,883414
2025-11-19,102.38,102.45,101.40,101.77,975577
2025-11-20,101.77,101.99,101.24,101.58,814208
2025-11-21,101.58,102.10,101.58,101.87,1101024
2025-11-24,101.87,103.02,101.48,102.70,881735
2025-11-25,102.70,103.37,102.44,103.15,1077928
2025-11-26,103.15,103.49,102.52,102.68,1185331
2025-11-27,102.68,103.86,102.38,103.78,1004841
2025-11-28,103.78,104.26,103.78,104.13,1038912
2025-12-01,104.13,105.77,103.98,105.63,1079558
2025-12-02,105.63,106.41,105.26,106.17,1031473
2025-12-03,106.17,106.29,105.52,105.82,851508
2025-12-04,105.82,107.31,105.59,107.21,1182553
2025-12-05,107.21,107.46,106.76,107.11,974079
2025-12-08,107.11,109.24,106.93,109.17,1348504
2025-12-09,109.17,109.92,108.88,109.60,934064
2025-12-10,109.60,111.68,109.39,111.42,981820
2025-12-11,111.42,112.20,111.31,111.83,1374725
2025-12-12,111.83,111.90,111.39,111.55,950397
2025-12-15,111.55,111.88,111.42,111.50,1137938
2025-12-16,111.50,112.84,111.21,112.67,1255309
2025-12-17,112.67,113.14,112.23,112.75,1159775
2025-12-18,112.75,114.39,112.35,114.24,1016141
2025-12-19,114.24,115.33,114.09,115.05,895480
2025-12-22,115.05,116.07,114.66,115.63,836434
2025-12-23,115.63,116.07,113.96,114.39,1279353
2025-12-24,114.39,116.52,114.04,116.49,1118395
2025-12-25,116.49,116.88,116.22,116.37,1077177
2025-12-26,116.37,117.74,116.10,117.59,1091913
2025-12-29,117.59,118.42,117.43,117.96,1044857
2025-12-30,117.96,118.76,117.68,118.44,1186238
2025-12-31,118.44,119.06,118.14,118.66,1122680
2026-01-01,118.66,119.07,116.69,116.72,1073655
2026-01-02,116.72,116.74,115.94,116.29,1236795
2026-01-05,116.29,117.17,116.16,116.92,1018060
2026-01-06,116.92,117.20,116.82,116.89,1397234
2026-01-07,116.89,118.02,116.53,117.87,1055169
2026-01-08,117.87,118.19,117.54,117.65,1085969
2026-01-09,117.65,119.36,117.46,118.99,1175854
2026-01-12,118.99,119.25,118.16,118.56,1073687
2026-01-13,118.56,118.97,118.18,118.30,1394784
2026-01-14,118.30,118.53,117.96,118.15,1312390
2026-01-15,118.15,119.40,118.04,119.24,917119
2026-01-16,119.24,119.55,118.39,118.82,1341989
2026-01-19,118.82,118.98,118.30,118.60,1134857
2026-01-20,118.60,120.17,118.31,119.73,1387941
2026-01-21,119.73,120.76,119.54,120.31,847622
2026-01-22,120.31,121.65,119.87,121.29,1190767
2026-01-23,121.29,121.53,120.63,120.97,1208401
2026-01-26,120.97,121.88,120.75,121.87,1229426
2026-01-27,121.87,122.09,120.80,121.05,991284
2026-01-28,121.05,121.99,120.65,121.80,1179202
2026-01-29,121.80,121.97,121.39,121.79,1216878
2026-01-30,121.79,124.24,121.55,123.96,1392038
2026-02-02,123.96,124.54,123.54,124.39,1239367
2026-02-03,124.39,124.86,123.57,123.84,1027978
2026-02-04,123.84,124.22,123.61,124.19,922974
2026-02-05,124.19,127.24,123.71,126.83,1200355
2026-02-06,126.83,127.24,126.68,127.05,1060878
2026-02-09,127.05,128.36,126.58,128.00,946331
2026-02-10,128.00,128.29,127.17,127.51,1254534
2026-02-11,127.51,128.43,127.33,128.08,1187262
2026-02-12,128.08,128.60,127.73,128.41,1292755
2026-02-13,128.41,128.94,128.34,128.84,820686
2026-02-16,128.84,129.31,128.14,128.29,933890
2026-02-17,128.29,128.95,128.28,128.52,1378173
2026-02-18,128.52,128.52,128.01,128.27,1292345
2026-02-19,128.27,129.74,128.20,129.25,1240547
2026-02-20,129.25,129.82,129.01,129.50,876485
2026-02-23,129.50,130.17,129.16,129.96,1398141
2026-02-24,129.96,130.48,129.78,130.10,999619
2026-02-25,130.10,130.49,129.89,130.49,1397713
2026-02-26,130.49,131.54,130.24,131.35,1160789
2026-02-27,131.35,132.42,131.14,131.96,1315462
2026-03-02,131.96,132.34,130.55,130.60,1117453
2026-03-03,130.60,132.15,130.26,131.86,989043
2026-03-04,131.86,132.62,131.71,132.18,1396592
2026-03-05,132.18,133.62,131.70,133.40,1282755
2026-03-06,133.40,134.14,133.28,133.79,1377617
2026-03-09,133.79,135.67,133.62,135.41,985672
2026-03-10,135.41,136.88,134.89,136.74,1093178
2026-03-11,136.74,136.93,135.71,135.84,1154537
2026-03-12,135.84,136.15,135.54,136.05,1351574
2026-03-13,136.05,136.96,135.64,136.61,857512
2026-03-16,136.61,138.49,136.28,137.95,1375633
2026-03-17,137.95,139.24,137.75,138.75,1156319
2026-03-18,138.75,139.95,138.66,139.77,1063314
2026-03-19,139.77,141.83,139.74,141.35,957882
2026-03-20,141.35,141.87,140.54,140.99,1396568
2026-03-23,140.99,142.44,140.69,142.02,1214172
2026-03-24,142.02,142.29,141.75,142.11,1344908
2026-03-25,142.11,142.94,141.83,142.61,906030
2026-03-26,142.61,144.62,142.38,144.42,1136839
2026-03-27,144.42,145.58,144.05,145.23,902300
2026-03-30,145.23,147.07,144.92,146.70,896573
2026-03-31,146.70,146.73,145.27,145.54,904042
2026-04-01,145.54,145.97,144.35,144.77,1117320
2026-04-02,144.77,145.74,144.56,145.59,1137579
2026-04-03,145.59,145.74,145.01,145.64,1266913
2026-04-06,145.64,146.53,145.40,146.07,1114989
2026-04-07,146.07,146.22,145.79,146.09,1283796
2026-04-08,146.09,147.93,145.72,147.69,915326
2026-04-09,147.69,148.29,147.42,147.79,981037
2026-04-10,147.79,148.58,147.20,148.43,1010502
2026-04-13,148.43,148.71,147.92,148.48,1135608
2026-04-14,148.48,149.60,148.36,149.46,963741
2026-04-15,149.46,150.16,148.92,149.62,946906
2026-04-16,149.62,149.99,149.16,149.50,1155659
2026-04-17,149.50,151.87,148.91,151.50,893965
2026-04-20,151.50,153.91,151.45,153.66,1233343
2026-04-21,153.66,155.53,153.26,154.95,1153824
2026-04-22,154.95,155.39,153.98,154.40,1290947
2026-04-23,154.40,154.68,153.65,154.09,893343
2026-04-24,154.09,154.40,153.39,153.59,1251894
2026-04-27,153.59,154.39,153.20,153.89,1032671
2026-04-28,153.89,154.39,153.39,153.82,1310717
2026-04-29,153.82,156.32,153.21,156.01,1008253
2026-04-30,156.01,157.01,155.55,156.47,1168049
2026-05-01,156.47,156.82,156.19,156.43,1375393
2026-05-04,156.43,156.73,155.05,155.18,1366801
2026-05-05,155.18,158.84,154.77,158.23,842365
2026-05-06,158.23,159.28,157.95,159.09,1298155
2026-05-07,159.09,160.61,158.93,160.01,999293
2026-05-08,160.01,160.44,159.36,159.85,1382116
